user,text
Ne_Gativistic,@realDonaldTrump https://t.co/8c6ztl4Hzo
LauraEatherly,@realDonaldTrump Chris Wallace should be ashamed of himself and Fox should be ashamed also. President Trump definit… https://t.co/8o8JmIJ6vu
Electru17799469,@realDonaldTrump That sums it up!
Jojoe6141,@realDonaldTrump You were an embarrassment.  Do you really want to do this again?  it was. excruciating for us to w… https://t.co/iB4XHW2g4J
bermudezcruz,@realDonaldTrump #hailtrump #Trump2020 #TrumpVictory
auvi_lu,@realDonaldTrump https://t.co/YDEkCaEwNj
utsumifire31,@realDonaldTrump Where is justiceʅ（◞‿◟）ʃ
Permitted2Shine,@realDonaldTrump #BidenWonTheDebate #shutupman #ClownTrump https://t.co/IjCgxExU07
TPeopledied,"@realDonaldTrump Wow, you are nasty.  You treat everyone with disrespect.   I will be happy when you go to prison.… https://t.co/zERHzk33JM"
SandraManning16,@realDonaldTrump Yes as usual 🙄
Alhelemi,@realDonaldTrump Wish u all the best
AndrewP72227899,"@realDonaldTrump Trump is not fit for office, is there no law in place that could earn him a vote of No Confidence? #VoteHimOut2020"
ALLONESUN,@realDonaldTrump @stillgray Wow...looks as though most of israel and china's evil communist internet propaganda emp… https://t.co/U7OLFIxaTt
dvon104,@realDonaldTrump https://t.co/OyRYWjF7r7
FreedomUSA15,@realDonaldTrump We know Mr. President we saw we heard you won Biden cheated and Wallace should never moderate another debate
UmpF45,@realDonaldTrump 😎 https://t.co/5XDUBA2x7z
FreeSky_taiwan,@realDonaldTrump Wallace really worked hard to help Biden!  Host Wallace 18 questions were asked to Trump; 14 quest… https://t.co/tvB5CgBNWZ
globalist_juice,"@realDonaldTrump @stillgray Wallace+Biden debate  ...and democrats still lost.  Hillary had media, twitter/FB, bias… https://t.co/HjibJhVoKT"
tempestadehh,@realDonaldTrump https://t.co/NeCrFVAKXl
TheSile75635008,@realDonaldTrump @JoeBiden and @KamalaHarris are on the side of #Antifa #BLM both terrorist organizations. This has… https://t.co/4bW2Mu5xLl
JoB1KinNoDonnie,@realDonaldTrump The only thing that disappointed me was that you dragged the 2 on the right down to your level
bushidocombat,"@realDonaldTrump @stillgray He still shouldn't have interrupted him so much. It's a win-win situation, President Tr… https://t.co/ATx4fIn9WO"
cyfu14,@realDonaldTrump Keep fighting President Trump! We feel your fight! And keep you in our prayers and our votes!
Oma5Bonnie,@realDonaldTrump Wrong
sss14892904,@realDonaldTrump 🤣🤣🤣🤣🤣🤣🤣🤣
jmduthie,@realDonaldTrump you couldn't even follow the rules of the debate and shut your mouth when it wasn't your turn!
jjsarraille,@realDonaldTrump Donald is a legend in his own micro-mind.
DaneBroody,@realDonaldTrump Yeah keep at it buddy https://t.co/4NeNpECLks
SpecialistVisa,"@realDonaldTrump Biden looked like a mean, inflated doll...."
SLori1960,@realDonaldTrump #TruthMatters https://t.co/amaVumteCk
WiebeClinton,@realDonaldTrump Losing sleep are you?
AlnazeerAhmedA2,@realDonaldTrump @ashrufali88 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
purplemamabear,@realDonaldTrump You need help. Serious help.
NepToTheTune,@realDonaldTrump https://t.co/7ug26LvzzM
sfscatlcj,"@realDonaldTrump Ok, you missed several items that you needed to mention .. plz review with your team your other im… https://t.co/tv1u9JJAEY"
EdwardCrouchUK,@realDonaldTrump Grow up
_FirstLady33,@realDonaldTrump Anytime something doesn't go your way you blame it on others and act like you a victim you always… https://t.co/zCdLm8QZmV
Trevorthelen,@realDonaldTrump Man why is our president such a whiny bitch #debates2020 https://t.co/i0kel3hg9Q
langen_thomas,@realDonaldTrump The world rubs its eyes at such a humiliating spectacle.  A president who publicly asks that right… https://t.co/nCDNkWZngi
Sudhir9015,@realDonaldTrump 💪 #Trump2020
edgar_milne,@realDonaldTrump People need clarity that Biden &amp; family are experienced predators of DC swamp making unkept promis… https://t.co/Mus7l1YBNn
ALLONESUN,@realDonaldTrump @stillgray PS: And lehman brothers and john wilkes booth and emma goldman and jack ruby were ALSO… https://t.co/9B52IXsUmw
BlackCatFurMom,@realDonaldTrump Yuck. You are so disgusting.
iustus_dicens,@realDonaldTrump https://t.co/4QwMU9yhq4
Ha7em_,@realDonaldTrump يرجال محد مهتم انت وشعرك كنه غزل بنات
zack_bellini,@realDonaldTrump CROOK  RESIGN
AboveTheEagles,@realDonaldTrump Sleepy Donald!
AurelCoeur,@realDonaldTrump I mean... As much as I hate that guy on the left... He didn't lose the first debate
EvansTyou,"@realDonaldTrump To be honest, he is better than both of you. https://t.co/xkpc3yiUmz"
carmen_allgood,@realDonaldTrump @Flyfishinmary As usual little wimpy whiny Chris made the debate about himself. Argued with the Pr… https://t.co/Onmhk8FW5F
PamelaDraper,@realDonaldTrump #trumpLIES  #PutinsPuppet  #BountyGateAintGoingAway
ItRepublican,@realDonaldTrump Blame others.... play the victim https://t.co/j70yDoWM65
NguynThThanhBi1,@realDonaldTrump https://t.co/40Ui3eq03c
Meloniemaher1,@realDonaldTrump #fixedit https://t.co/nFVwgkzPeZ
Terrieristpups,@realDonaldTrump 😂😂😂😂😂😂😂😂😂😂😂🤣🤣😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂🤣🤣😂🤣🤣😂😂🤣😂😂😂🤣🤣🤣🤣
PotassiumEdge,@realDonaldTrump Chris Wallace would have won the debate so be grateful he was just on the sideline.
DennisMatlosz,@realDonaldTrump You’re not a victim. Enough already. #WorstPresidentInHistory
NLASGinaLynn,"@realDonaldTrump You were a DISGRACE and should be ASHAMED. But, of course you have no shame. Millions of people ar… https://t.co/srrlYwDBrM"
dlynnmason,@realDonaldTrump You were horrible. Never spoke of one policy and your plan to disrupt and just throw out unfounded… https://t.co/f4p7hEjDja
BorjaVillacis,@realDonaldTrump Go Trump 2020 💪🇺🇲🇪🇸
sboork78,@realDonaldTrump وللللللعت😂😂😂😂
saubet58,@realDonaldTrump CW works for Joe
sfscatlcj,"@realDonaldTrump Err, correction,  I thought that jb said iowavote, looks like he said iwillvote.. still a good check tho..."
lamondedupixel,"@realDonaldTrump Next time, bring your sharpie and map. #VoteHimOut https://t.co/OYf4Ok6Sha"
SpecialistVisa,@realDonaldTrump Wallace was defending sleepy joe
HCurlzzz,@realDonaldTrump @Babak_1992 Mr president you ruled tonight.. literally
SaravavnanM,@realDonaldTrump @realDonaldTrump Mr.President  Would you stop interrupting the Vice president  Joe biden  While he… https://t.co/krgm1YHsv7
ALLONESUN,"@realDonaldTrump @stillgray Because chris wallace is an evil communist jew!!! So is president of cnn, nbc, cbs, mos… https://t.co/BhozQ03HkE"
SuperJewGirl,@realDonaldTrump https://t.co/S4E31Acq4k
thee_Toker,@realDonaldTrump You forgot to put his earpiece on or his note cards that he had to look at so he knows what to say… https://t.co/yvRXX5yUKF
