user,text
AlofsLisa,@JoeBiden What are your comments on this Joe Biden? https://t.co/iFue7hP5w9
Me4ok1,"@JoeBiden America is ""laughing with you"" President Biden 🖤💙🖤"
carenmess,@JoeBiden Shut up man
WeezieJean630,@JoeBiden Keep up the positive messaging!  It’s certainly a refreshing approach to campaigning these days. #BidenHarris2020
TylerB21495663,"@JoeBiden Your one of the reasons the family unit is broken, why we had 2008"
rychase01,"@JoeBiden Yet Joe’s done nothing for 47 years. Wrap it up, buddy. You don’t have a chance...."
tmd2_1,@JoeBiden You’re in it for you and your family...and the high ranking members of the “party”
FLbarbMAGA,"@JoeBiden Yes, but no one realized that “For all our families” only counted of your last name was Biden"
lundrigan_rick,@JoeBiden You need to give it up Joe before you send the rest of your senial years in prison!47 years is 47 too man… https://t.co/zeGuyHzBCo
MargieNorr1,@JoeBiden Where’s Hunter?
mag30342431,"@JoeBiden Sure, forget 47 years of bad decisions cause the dementia has given you better thinking skills."
KerrySpringer,@JoeBiden You will probably be in a nursing home soon.
Jeannie5554,@JoeBiden I'm voting for Biden /Harris!!! https://t.co/HwBn6O5Shn
BHRCSD,@JoeBiden I love how you tweet “all the FEELZ” but when it comes down to your actual policy...we have to vote for y… https://t.co/dK6nR1HdWP
BlueTEC14,"@JoeBiden At least, you have been working very hard for your family"
LuckyReagan2,@JoeBiden When you first ran for the senate https://t.co/TgNcLqXOn2
netcrew15,"@JoeBiden Biden’s 1994 crime Bill hurt minority families but, being the racist that he is Joe didn’t care."
cheris0722,@JoeBiden @Soshjust And he means it!  Joe is who America needs.
SandraDee2112,@JoeBiden https://t.co/IAaiErEADY
BMartinPatriot,@JoeBiden When you first ran for Senate I was in sixth grade. Now I’m getting ready to retire.
GSLpatriot,@JoeBiden Now didn’t write this or any other tweet
FitzgeraldBenny,@JoeBiden https://t.co/4c74Jmx3mg
realMrBennett,@JoeBiden https://t.co/4pzeg4fxSg
PayneWynne,"@JoeBiden Don’t lie. When you first ran for Senate, people started using smoke signals as a way to communicate. Ter… https://t.co/onkvByytMG"
dedelouwho532,@JoeBiden Yet you’ve accomplished almost nothing for both #Democrats or #Republicans
carlalastone,"@JoeBiden @Baligubadle1 I'll vote Biden, no doubt. Thoughts I  hesitate sharing- many missed opportunities. Huge gr… https://t.co/JkRvkPCeq6"
BigBird31192728,"@JoeBiden Biden-Harris only support Thugs, Looter and Rapists. Biden had no respected for our VETS and soldiers. He… https://t.co/rh327vH9qg"
ArthurJ05365037,@JoeBiden https://t.co/M21dIaQ6ZW
RetroGamer_81,@JoeBiden Was that before or after you took YOUR family away from the 'racist jungles'?
MayaAS47560418,@JoeBiden ┏━━┓┏━━┓┏━━┓┏━━┓ ┗━┓┃┃┏┓┃┗━┓┃┃┏┓┃ ┏━┛┃┃┃┃┃┏━┛┃┃┃┃┃ ❤️🤍💙 🇺🇲 B I D E N 🇺🇲 ❤️🤍💙 ┃┗━┓┃┗┛┃┃┗━┓┃┗┛┃ ┗━━┛┗━━┛┗━━┛┗━━┛
mickeycorey,@JoeBiden How about for our blue families? 🚓💙 Sorry Joe...I just don’t buy it. #Trump2020 🇺🇸🇺🇸🇺🇸
Cameron08305818,"@JoeBiden BLM is against families, call them out today!"
RobertLiveFree,@JoeBiden 😂😂😂😂😂😂 was that 180 yrs ago Americans do not want a socialist government &amp; you know darn well that is what the marxist @DNC is!!!
ThreatMoral,@JoeBiden Well you sold out American families throughout your time in office so... No more career politicians!
ShadowMonsterT1,@JoeBiden We know you will be Joe.  Trump already has shown he only cares about who voted for him.  He's the Presid… https://t.co/wbs14OyQdW
Brianmarie11,@JoeBiden https://t.co/4m6LqEA9Nt
John23483450,@JoeBiden When was that 1850?
brette16,@JoeBiden In my opinion lifetime politicians are the problem.  They become entitled to their position and enjoy the… https://t.co/f9o8SQXtlo
JerryT32444,@JoeBiden Really Joe? https://t.co/SbFjQIVg7C
jazzyjulie58,@JoeBiden We the People suffered a great deal under Obama/ Biden administration.  While you enriched yourself and y… https://t.co/Zwlknsqx8Z
betterkeepastil,"@JoeBiden ""For all our families"" Yeah, coastal elite billionaire families and the Bank families.. Definitely not fo… https://t.co/6W5QdqelaS"
Naturepig1,@JoeBiden Does that include the families in the racial jungle joe?
scarroll1188,@JoeBiden Why can’t you just answer questions?? Corrupt son? Packing the court? How do you feel about law and order… https://t.co/DrPBfYyAxu
JLNCollection,@JoeBiden Tell us how whites suck 🖕🏽🖕🏾🖕🏻🖕🏿🖕🏼🖕
mitetris,"@JoeBiden Today I proudly voted for our country’s next president, Joseph R. Biden!  I voted using a mail-in ballot… https://t.co/3casIOkdx4"
haitem_mazari,@JoeBiden https://t.co/yUDLV7bLMj
Crookednose2,@JoeBiden What a crock of s***!
suilluis,@JoeBiden https://t.co/g6r8j8J7N8
Napier60G,"@JoeBiden But you'll call us all racists and white supremacists to get there. No thanks, Joe. https://t.co/r35Z9ewL2Q"
warriorwoman91,"@JoeBiden When what that, 1863?"
peteypan04,@JoeBiden This is honestly an amazing tweet its exactly what i wanted a president to say if i could vote it would be for you
LindenGroveTO,@JoeBiden Going back to sleep. You need to do better than suck up to Wall Street and the wealthiest who don't need… https://t.co/k5iJ6RxzIf
limousinlad,"@JoeBiden I like this man. I think people around the world 🌎 are going to like this man too. Please Americans, vote… https://t.co/tqo0KGnZgK"
CoreyJPalmer1,@JoeBiden That 180 yrs went by fast. Did you campaign for Martin Van Buren also ?
Genn98432098,@JoeBiden Joe in 47 years you did nothing for Dems or Republicans . Joe you lined your family and your pockets with money and big Corp.
marym50978815,@JoeBiden The only family you are for is your own
AlexTeague7,@JoeBiden Why are you a #Bigot?
Lillepschun,@JoeBiden How can you be if you don’t represent what America stands for?
louisematteo,@JoeBiden Like it should be
VeracityPatriot,@JoeBiden https://t.co/vLADNlwMln
FunkeButch,@JoeBiden https://t.co/tfv6VELhl1
JayMedina,@JoeBiden @MikeLevin BS
RandySi61137927,"@JoeBiden IM ALL FOR YOU JOE HOWEVER NACY PELOSI, IS ASKING ME TO BE HOMELESS, SITTING IN THE DARK , HUNGRY WITH MY… https://t.co/AqIq7v4UFg"
